nome,categoria,instagram,whatsapp,email,site,bairro,cidade,observacoes
Ateliê Cerâmica & Cia,ceramica,ceramicaecia,,,https://www.ceramicaecia.com.br/,Vila Madalena,São Paulo,"Premium e estabelecido (165k seguidores no IG). Ateliê de alta temperatura na Rua Fidalga 387 com aulas de torno, modelagem e pintura, estética clássica e fotogênica."
Jamila Cruzado,ceramica,jamilacruzado,,,https://www.jamilacruzado.com/,Vila Madalena,São Paulo,"Autoral e curatorial. Ceramista formada em Bellas Artes na Argentina, oficinas de torno e modelagem em sala terraço na Rua Fradique Coutinho, perfil de artista contemporânea."
Mara Lozano,ceramica,maralozano,,,,Vila Madalena,São Paulo,"Autoral e premium. Ateliê escola de ceramista reconhecida no meio. Endereço Rua Hendrik Bles 62, Vila Madalena."
Atelier Muriqui,ceramica,atelier_muriqui,,atendimento@muriquiceramica.com.br,https://www.muriquiceramica.com.br/,Pinheiros,São Paulo,"Premium e sofisticado. Cerâmica artesanal para gastronomia (parcerias com chefs), aulas semanais de modelagem e workshops imersivos, estética minimalista."
BARRO Cerâmica,ceramica,,,,https://ceramicabarro.com.br/,Pinheiros,São Paulo,"Jovem e autoral. Ateliê na Rua Deputado Lacerda Franco 151 com aulas em turmas pequenas (até 4 alunos) e workshops temáticos."
Bea Reis,ceramica,,,,https://www.beareis.com/,Pinheiros,São Paulo,"Autoral e curatorial. Ceramista, pesquisadora e escritora; ateliê em Pinheiros com aulas semanais de alta temperatura para iniciantes e avançados."
Shoyu Crafts,ceramica,,,,https://shoyucrafts.com.br/,Pinheiros,São Paulo,"Jovem e clean. Ateliê e coworking de cerâmica em Pinheiros, aulas e workshops para iniciantes e ceramistas autônomos, estética asiática enxuta."
Fika Open Art Studio,ceramica,fika.open.art.studio,,,https://www.fika.art.br/,Jardins,São Paulo,"Premium e instagrammável. Open art studio na Rua Luís Pereira de Almeida 50, aulas completas de cerâmica, residência artística, loja e estética super fotogênica."
Atelier Hideko Honma,ceramica,hidekohonma,,contato@hidekohonma.com.br,https://www.hidekohonma.com.br/,Moema,São Paulo,"Premium, autoral e raríssimo. Ceramista referência em cerâmica japonesa no Brasil, ateliê com sala de cerimônia do chá, café e loja na Av. Jacutinga 434, ensina raku e técnicas aprendidas no Japão."
Ateliê Marte,ceramica,atelie.marte,,marina@marteceramica.com.br,https://www.marteceramica.com.br/,Vila Mariana,São Paulo,"Autoral e jovem. Escola de cerâmica brasileira ""com alma"" na Rua Dona Inácia Uchôa 371, oferece workshops raros de queima Raku e Obvara."
Do Barro,ceramica,do.barro,,,https://www.moradadobarro.com.br/,Vila Mariana,São Paulo,"Estabelecida e curatorial. Escola-ateliê na Rua Napoleão de Barros 167, programas regulares, c-LAB para iniciantes e ateliê compartilhado."
Cose di Legno,marcenaria,cosedilegno,11933389922,piero@cosedilegno.com.br,https://cosedilegno.com.br/,Pinheiros,São Paulo,"Premium e autoral. Escola de marcenaria fina desde 1980 na Rua Antônio Bicudo 22 com manifesto ""slow wood"", turmas de até 8 alunos, clientela equilibrada entre homens e mulheres."
Núcleo Joalheria,vidro,,,,https://nucleojoalheria.org/,Pinheiros,São Paulo,"Curatorial e raro. Núcleo de joalheria contemporânea na Rua Francisco Leitão 705 com workshops de vidro no maçarico (técnica rara em SP), perfil de pesquisa e arte."
Espaço Zero,vidro,espacozero,,zero@espacozero.com.br,https://www.espacozero.com.br/,Pacaembu,São Paulo,"Premium, raríssimo e referência. Único studio glass aberto ao público na América do Sul, fundado por Elvira Schuartz (formada em Murano), casarão arborizado em Pacaembu com cursos de sopro de vidro e fusing."
