Experiencia,Fornecedor,Vendas,Ingressos,Repasse_correto
Aula de Tufting (Ter/Qui/Sex),Lado B,1,1,189.00
Buquê de Flores,Meigo Mimo,9,10,1400.00
Buquê de Flores & Home Spray,Meigo Mimo,4,6,840.00
Buquê de Flores & Home Spray + Coffee Break São João,Meigo Mimo,4,5,770.00
Collage Club,Collage Club,4,5,350.00
Crie Seu Próprio Lip Balm,Pollen & Pop,1,2,392.00
Drinks & Petiscos - Limão e Café,Receitaria Escola Gourmet,1,1,297.50
Experiência em Ourivesaria: Crie sua Joia,Perséfone Lab,1,2,320.00
Gastronomia Molecular: Gelatinização & Espumas,Receitaria Escola Gourmet,1,1,297.50
Modelagem em Cerâmica: Single´s Day,Repô Cerâmica,1,1,175.00
Oficina de Bolsa de Crochê,Juliana Aoki,10,10,1330.00
Oficina de Croissant,Receitaria Escola Gourmet,2,2,595.00
Oficina de Perfumaria Criativa & Meditação Guiada,Lab Botanic,3,3,546.00
Oficina de Perfumaria Criativa + Brunch & Meditação Guiada,Lab Botanic,1,1,182.00
Oficina de Perfumaria Natural: Seu Perfume Botânico,Harbolita,1,1,207.90
Pão de Mel Artesanal,Receitaria Escola Gourmet,1,1,297.50
Pasta & Date nas Alturas,Accademia Gastronomica,3,4,1652.00
Pasta & Date nas Alturas: Dia dos Namorados,Accademia Gastronomica,1,2,944.00
Pintura de Quadro com Cristal & Aperol Spritz,Sarques,1,2,418.60
Pintura em Copo & Vela + Home Spray,Meigo Mimo,3,3,420.00
Pintura em Taça,Ateliê Meu Outro Lado,20,26,3276.00
Princípios da Cozinha - Básico & Bem Feito,Casa Zuri,1,1,203.00
Sabonete Artesanal,Ateliê Meu Outro Lado,12,16,1904.00
Tela & Tinta: Pintura Guiada,Giovanna Fiorenzano,3,3,270.00
Vela & Pintura em Copo + Home Spray,Meigo Mimo,1,2,280.00
Vela Aromática,The Cozy Home,4,4,840.00
Vela Aromática,Ateliê Meu Outro Lado,24,29,3654.00
Vela Bolo Decorado & Home Spray,Meigo Mimo,1,1,154.00
Vela Café Gelado & Home Spray,Meigo Mimo,1,2,350.00
Workshop de Ourivesaria: Crie sua Joia,Perséfone Lab,2,3,480.00
Yoga Aéreo & Imersão ao Cacau,Ocean Yoga,1,2,308.00
