nome,categoria,instagram,whatsapp,email,site,bairro,cidade,observacoes
Oficina Tipográfica São Paulo,tipografia,oficinatipograficasp,,cursos@oficinatipografica.com.br,https://oficinatipografica.com.br/,Mooca,São Paulo,"Curatorial e raro. ONG fundada em 2000 que preserva tipos móveis de metal e madeira, oferece workshops Experiência Letterpress, materialidade e história gráfica autêntica para presentes-experiência sofisticados."
Letterpress Brasil,tipografia,letterpressbrasil,11999568095,,https://letterpressbrasil.com.br/,Vila Madalena,São Paulo,"Ateliê artesanal de impressão letterpress com estética premium. Atende convites, papelaria fina sob medida e oferece experiências com prensas tipográficas históricas."
Eleva Sound Healing,soundhealing,,11996778728,queromecuidar@elevaterapia.com.br,https://www.elevaterapia.com.br/,Lapa,São Paulo,"Sessões de banho sonoro com tigelas de cristal puro 432Hz no Espaço Eleva. Estética minimalista e curatorial, perfil de bem-estar premium para experiências sensoriais."
FLO atelier botânico,floral,floatelierbotanico,1125896116,,https://atelierbotanico.com/,Baixo Pinheiros,São Paulo,"Referência conceitual em terrários, kokedamas e projetos botânicos autorais. Estética altamente fotogênica, espaço já presente em Casa Vogue/Urban Jungle. Workshops periódicos."
Atelier Etno Botânica,tintura,studio_inbluebrazil,11981074046,atelier.etnobotanica@gmail.com,https://www.etnobotanica.com.br/,Campo Belo,São Paulo,"Estúdio de Leka Oliveira referência em tingimento natural e Shibori desde 2008. Workshops imersivos de Itajime e Arashi sobre algodão, slow fashion premium."
Mosaicos da Vila,mosaico,mosaicosdavila,11988803133,,https://www.mosaicosdavila.com.br/,Vila Maria,São Paulo,"Ateliê de Elaine Castagnoli dedicado à Arte Musiva. Espaço acolhedor com aulas em técnicas variadas de mosaico contemporâneo, perfil autoral raro em SP."
Mariana Zoccoli Atelier,tecelagem,marianazoccoli,,,https://www.marianazoccoli.com/,Vila Madalena,São Paulo,"Ateliê-escola de tecelagem e cerâmica autoral em Rua Fradique Coutinho 1589. Artista contemporânea com proposta curatorial e fotogênica."
Juliana Maia Tecelagem,tecelagem,,,,https://www.juliana-maia.com/,Vila Anglo Brasileira,São Paulo,"Artista têxtil com formação por mestras Tiyoko Tomikawa e Nádia Resende. Curso de tear de pente liço em 8 encontros, abordagem reflexiva sobre memória e tecido."
Casa Locomotiva,fotografia,casalocomotiva,11980168311,contato@casalocomotiva.com.br,https://www.casalocomotiva.com.br/,Vila Madalena,São Paulo,"Casarão na Rua Girassol 973 com galeria, ateliê, café e escola de artes. Cursos de fotografia analógica com laboratório próprio, estética muito fotogênica."
Sinnatrah Cervejaria-Escola,cerveja,sinnatrah,11945564052,sinnatrah@sinnatrah.com.br,https://sinnatrah.com.br/,Pompeia,São Paulo,"Primeira cervejaria-escola de SP (desde 2009). Cursos básicos e avançados, workshops técnicos e experiências fechadas para grupos premium."
São Paulo Urban Distillery,destilaria,saopaulourbandistillery,1131205535,,https://spud.social/,Consolação,São Paulo,"Microdestilaria de gin escondida no banheiro do Drosophyla, casarão dos anos 1920. Produz o premiado Jardim Botânico Gin. Tours guiados às quartas, experiência única."
Ciclo das Vinhas Escola do Vinho,vinhos,ciclodasvinhas,11963096432,,https://www.ciclodasvinhas.com.br/,Pinheiros,São Paulo,"Escola pioneira de Alexandra Corvo desde 2007 na Rua Artur de Azevedo 502. Cursos, degustações e eventos com metodologia única, referência absoluta em SP."
Cervejaria Dogma Tasting Room,cerveja,dogmastacecilia,,,https://cervejariadogma.com.br/,Vila Buarque,São Paulo,"Tasting Room em galpão reformado na Rua Fortunato 236. Melhor Chope de SP pela Veja por 3 anos, 20 torneiras, estética industrial premium."
Tudo e Vinho,vinhos,espaco_tudoevinho,11948252430,,https://tudoevinho.com.br/,Pinheiros,São Paulo,"Wine bar-escola curado pelo sommelier WSET 3 Rodrigo Colon. Cursos de degustação, garrafas selecionadas e clima de salon íntimo, perfil curatorial."
Mission Chocolate,chocolate,missionchocolate,11993802222,,https://www.missionchocolate.com.br/,Brooklin,São Paulo,"Chocolate bean-to-bar mais premiado do Brasil. Fundado pela mexicana Arcelia Gallardo (ex-Dandelion), loja-café na Rua California 808 inaugurada em 2023."
Dengo Chocolates Fábrica,chocolate,dengochocolates,11910189842,,https://www.dengo.com.br/,Pinheiros,São Paulo,"Loja-conceito e fábrica na Av. Brigadeiro Faria Lima 196 com Escola do Chocolate, Biblioteca, restaurante Cabruca, sorveteria e personalização de barras. Experiência sensorial."
Majucau Chocolates,chocolate,majucau,11949839887,,https://www.majucau.com.br/,Jardim Ponte Rasa,São Paulo,"Bean-to-bar 100% brasileiro com cacau fino de pequenos produtores. 68k seguidores, edições limitadas e foco em sustentabilidade premium."
Casa Lasevicius,chocolate,casa_lasevicius,11989289554,,https://www.casalasevicius.com.br/,São Paulo,São Paulo,"Bean-to-bar familiar fundado em 2015. Único triplo premiado Bean to Bar Brasil 2017-2019. 20+ rótulos autorais com herança lituana e cacau brasileiro."
A Queijaria,queijo,aqueijaria,11995188219,,https://www.aqueijaria.com.br/,Vila Madalena,São Paulo,"Loja-conceito na Rua Aspicuelta 35 com 80+ queijos artesanais brasileiros. 12 anos promovendo pequenos produtores, perfil curatorial premium."
Lardo Bar e Sebo,charcutaria,lardo.pompeia,11978540719,,,Pompeia,São Paulo,"Charcutaria autoral em garagem reformada na Rua Guiará 376. Pâté en croûte, lonza, salame de pato, decoração com sebo. Top da nova charcutaria SP."
Charco Restaurante,charcutaria,charcorestaurante,11946314065,,,Jardim Paulista,São Paulo,"Restaurante MICHELIN de Tuca Mezzomo e Nathalia Gonçalves. Charcutaria de buffalo stracciatella e coppa produzidas in-house, foco em vinhos naturais sul-americanos."
Empório Manuel,charcutaria,emporio.manuel,11930874396,,,Itaim Bibi,São Paulo,"Casa com charcutaria maison em Rua Manuel Guedes 426. Gastronomia francesa afetiva, conservas próprias, pães de fermentação natural."
Lá do Mato Saboaria,saboaria,,,,https://www.ladomato.com.br/,Perdizes,São Paulo,"Casinha Lá do Mato de Eloísa Toguchi (ex-modelo, especialista em cosmética natural). Workshops de saponificação a frio e a quente, shampoos sólidos e incensos naturais."
ÓiaFia Cosméticos,saboaria,oiafia,,,https://oiafia.com.br/,São Paulo,São Paulo,"Marca de saboaria com economia circular fundada por Flávio Cardozo (PhD em biotecnologia USP). Cursos de saboaria artesanal natural usando óleos residuais."
Atelier Piratininga,gravura,atelierpiratininga,1123730224,atelierpira@gmail.com,https://atelierpiratininga.com/,Vila Madalena,São Paulo,"Coletivo de gravura fundado em 1993 na Rua Fradique Coutinho 934. Workshops, residência artística e cursos de gravura, ilustração e ofícios gráficos. Patrimônio curatorial raro em SP."
Aliança Cultural Brasil-Japão,cha,culturaalianca,11965717393,pinheiros@aliancacultural.org.br,https://site.aliancacultural.org.br/,Pinheiros,São Paulo,"Centro Cultural em Rua Dep. Lacerda Franco 328. Cursos de ikebana Ikenobo, sumi-ê, shodô, washié e cerimônia do chá. Maior escola de língua japonesa da América Latina."
Bunkyo - Cultura Japonesa,cha,bunkyodigital,11932501202,contato@bunkyo.org.br,https://bunkyo.org.br/,Liberdade,São Paulo,"Sociedade Brasileira de Cultura Japonesa em Rua São Joaquim 381. Workshops de kintsugi, sumi-ê pela Comissão de Arte Koguei, e cerimônia do chá. Patrimônio cultural."
Centro de Chadô Urasenke do Brasil,cha,,,,https://www.chadourasenke.org.br/,Liberdade,São Paulo,"Representante oficial da Urasenke Foundation (Kyoto) no Brasil. Sala de Chá Hakuei-an na Rua São Joaquim 381. Demonstrações e cursos de Chanoyu autênticos."
Suely Shiba Sumi-ê,pinturajaponesa,,11944884141,sumiearte@yahoo.com.br,https://suelyshibasumie.wordpress.com/,Brooklin,São Paulo,"Mestra rara de Sumi-ê no Brasil, formada por Master Rita Bohm e tradição Massao Okinaka. Atelier em Rua Ver. José Diniz 2571, ensina desde 1999. Arte raríssima e premium."
World Paper,origami,worldpaper49,1194391156,worldpaper@worldpaper.com.br,https://www.worldpaper.com.br/,Vila Madalena,São Paulo,"Único distribuidor exclusivo de papel Washi japonês na América Latina (500+ tipos). Loja em Rua Belmiro Braga 49 oferece workshops de origami e lâmpadas em papel."
Cecília Tomasi Aquarela Botânica,aquarela,,,ceciliatomasi@uol.com.br,http://www.ceciliatomasi.com.br/,Jardim da Glória,São Paulo,"Ilustradora aposentada do Instituto de Botânica de SP (1981-2012). Cursos em ateliê privado na Rua Crisólita 323, perfil de mestra reverenciada, raríssima."
Atelier Vivo,costura,atelievivo,,cursos.atelievivo@gmail.com,https://www.atelievivo.com.br/,Campos Elíseos,São Paulo,"Coletivo de 4 artistas com Biblioteca de Modelagens e Lab Têxtil. Aulas de modelagem, moulage, tingimento, bordado, tear, crochê e renda. Estética alternativa-curatorial."
Flavia Aranha,tintura,flaviaaranha,11437130340,contact@flaviaaranha.com,https://www.flaviaaranha.com/,Vila Madalena,São Paulo,"Marca pioneira de moda slow brasileira com tingimento natural de cascas e raízes. Ateliê-loja na Rua Aspicuelta 224 desde 2009. Referência em moda autoral premium."
Atelier Mariana Gonçalves,costura,marianagoncalvesatelie,,,https://en.marianagoncalves.info/,Vila Madalena,São Paulo,"Ateliê na Vila Madalena com oficinas de costura, técnicas têxteis, crochê e feltragem. Estética artesanal sofisticada e abordagem autoral."
